Iteration: 1
564 198 0
564 198 0 1
564 198 0 2
564 198 0 3
564 198 0 4
564 198 0 5
564 198 0 6
563 1912 136 7
564 198 0 8
564 198 0 9
564 198 0 10
564 198 0 11
564 198 0 12
564 198 0 13
564 198 0 14
564 198 0 15
564 198 0 16
564 198 0 17
564 198 0 18
564 198 0 19
564 198 0 20
563 1912 136 21
564 198 0 22
564 198 0 23
649 173 80 24
564 198 0 25
564 198 0 26
564 198 0 27
564 198 0 28
564 198 0 29
564 198 0 30
564 198 0 31
564 198 0 32
564 198 0 33
428 34
564 198 0 35
564 198 0 36
564 198 0 37
564 198 0 38
564 198 0 39
564 198 0 40
564 198 0 41
564 198 0 42
564 198 0 43
564 198 0 44
564 198 0 45
564 198 0 46
564 198 0 47
649 173 80 48
564 198 0 49
564 198 0 50
564 198 0 51
564 198 0 52
564 198 0 53
564 198 0 54
564 198 0 55
563 1912 136 56
649 173 80 57
563 1912 58
564 198 0 59
564 198 0 60
564 198 0 61
564 198 0 62
564 198 0 63
641 1549 171 64
564 198 0 65
564 198 0 66
563 1912 136 67
564 198 0 68
564 198 0 69
564 198 0 70
564 198 0 71
564 198 0 72
564 198 0 73
564 198 0 74
564 198 0 75
564 198 0 76
564 198 0 77
564 198 0 78
564 198 0 79
649 173 80
564 198 0 81
564 198 0 82
564 198 0 83
564 198 0 84
564 198 0 85
564 198 0 86
563 1912 136 87
649 173 80 88
564 198 0 89
564 198 0 90
564 198 0 91
649 173 80 92
564 198 0 93
649 173 80 94
564 198 0 95
564 198 0 96
564 198 0 97
564 198 0 98
564 198 0 99
649 173 163 100
649 173 80 101
564 198 0 102
563 1912 136 103
564 198 0 104
564 198 0 105
564 198 0 106
651 107
564 198 0 108
564 198 0 109
564 198 0 110
564 198 0 111
564 198 0 112
564 198 0 113
564 198 0 114
564 198 0 115
564 198 0 116
564 198 0 117
564 198 0 118
641 1549 171 119
563 1912 136 120
564 198 0 121
563 1912 136 122
564 198 0 123
564 198 0 124
563 1912 136 125
564 198 0 126
564 198 0 127
564 198 0 128
564 198 0 129
564 198 0 130
564 198 0 131
564 198 0 132
564 198 0 133
564 198 0 134
564 198 0 135
563 1912 136
564 198 0 137
564 198 0 138
564 198 0 139
564 198 0 140
564 198 0 141
564 198 0 142
564 198 0 143
564 198 0 144
564 198 0 145
563 1912 136 146
564 198 0 147
564 198 0 148
564 198 0 149
641 1549 171 150
564 198 0 151
564 198 0 152
564 198 0 153
564 198 0 154
564 198 0 155
563 1912 136 156
564 198 0 157
564 198 0 158
564 198 0 159
564 198 0 160
564 198 0 161
564 198 0 162
649 173 163
564 198 0 164
564 198 0 165
564 198 166
564 198 0 167
564 198 0 168
563 1912 136 169
564 198 0 170
641 1549 171
564 198 0 172
649 173
564 198 0 174
564 198 0 175
564 198 0 176
564 198 0 177
564 198 0 178
564 198 0 179
649 173 80 180
564 198 0 181
564 198 0 182
564 198 0 183
564 198 0 184
564 198 0 185
564 198 0 186
649 173 80 187
564 198 0 188
641 1549 171 189
564 198 0 190
564 198 0 191
564 198 0 192
564 198 0 193
649 173 80 194
564 198 0 195
564 198 0 196
564 198 0 197
564 198
564 198 0 199
564 198 0 200
564 198 0 201
649 173 202
564 198 0 203
649 173 80 204
564 198 0 205
564 198 0 206
564 198 0 207
564 198 0 208
564 198 0 209
564 198 0 210
564 198 0 211
564 198 0 212
563 1912 136 213
564 198 0 214
564 198 0 215
564 198 0 216
641 1549 171 217
564 198 0 218
564 198 0 219
564 198 0 220
564 198 0 221
564 198 0 222
564 198 0 223
564 198 0 224
564 198 0 225
564 198 0 226
564 198 0 227
564 198 0 228
564 198 0 229
564 198 0 230
564 198 0 231
564 198 0 232
564 198 0 233
564 198 0 234
564 198 0 235
564 198 0 236
564 198 0 237
564 198 0 238
564 198 0 239
564 198 0 240
564 198 0 241
649 173 80 242
564 198 0 243
564 198 0 244
564 198 0 245
563 1912 136 246
564 198 0 247
564 198 0 248
649 173 163 249
564 198 0 250
564 198 0 251
564 198 0 252
564 198 0 253
564 198 0 254
564 198 0 255
564 198 0 256
564 198 0 257
564 198 0 258
564 198 0 259
564 198 0 260
564 198 0 261
564 198 0 262
564 198 0 263
564 198 0 264
564 198 0 265
649 173 80 266
564 198 0 267
564 198 0 268
563 1912 58 269
564 198 0 270
564 198 0 271
564 198 0 272
564 198 0 273
564 198 0 274
564 198 0 275
564 198 0 276
564 198 0 277
564 198 0 278
564 198 0 279
564 198 0 280
564 198 0 281
564 198 0 282
564 198 0 283
564 198 0 284
563 1912 136 285
564 198 0 286
564 198 0 287
564 198 0 288
564 198 0 289
564 198 0 290
564 198 0 291
564 198 0 292
564 198 0 293
564 198 0 294
564 198 0 295
564 198 0 296
564 198 0 297
564 198 0 298
649 173 80 299
649 173 80 300
564 198 0 301
564 198 0 302
564 198 0 303
563 1912 136 304
564 198 0 305
564 198 0 306
564 198 0 307
563 1912 136 308
564 198 0 309
564 198 0 310
564 198 0 311
564 198 0 312
564 198 0 313
564 198 0 314
563 1912 136 315
564 198 0 316
564 198 0 317
564 198 0 318
564 198 0 319
649 173 80 320
564 198 0 321
563 1912 136 322
564 198 0 323
563 1912 136 324
564 198 0 325
564 198 0 326
564 198 0 327
564 198 0 328
649 173 202 329
649 173 80 330
564 198 0 331
564 198 0 332
564 198 0 333
564 198 0 334
564 198 0 335
564 198 0 336
564 198 0 337
564 198 0 338
563 1912 136 339
564 198 0 340
564 198 0 341
564 198 0 342
564 198 0 343
564 198 0 344
564 198 0 345
649 173 80 346
564 198 0 347
572 348
534 349
563 350
564 351
542 352
651 353
557 354
565 355
472 356
563 357
572 348 358
562 359
570 360
568 361
570 362
669 363
564 364
556 365
651 366
566 367
559 368
563 369
683 370
542 371
570 372
683 373
683 374
538 375
683 376
572 348 377
676 378
532 379
554 380
554 381
555 382
570 387 383
552 384
524 385
532 386
570 387
567 388
554 389
539 390
669 391
567 392
564 393
683 394
683 395
570 396
570 397
561 398
564 399
683 400
532 386 401
570 402
802 806
805 807
797 808
797 809
805 810
800 811
778 812
799 813
805 814
805 815
768 816
805 817
805 818
805 819
803 820
773 821
796 822
805 823
805 824
698 825
784 826
805 827
805 828
805 829
805 830
805 831
803 832
789 833
805 834
799 835
793 836
805 837
805 838
789 839
805 840
740 841
805 842
805 843
805 844
800 845
785 846
805 847
761 848
804 849
793 850
800 851
798 852
805 853
784 854
798 855
804 856
698 857
698 858
698 859
698 860
804 861
698 862
804 863
698 864
698 865
698 866
776 867
698 868
774 869
698 870
698 871
776 872
776 873
776 874
698 875
804 876
776 877
804 878
698 879
805 880
698 881
804 882
698 883
698 884
776 885
804 886
776 887
804 888
804 889
769 890
698 891
698 892
698 893
698 894
698 895
637 896
